low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
0.0076174,0.098725,6,0.5,5,V,425
0.0082576,0.10579,6,0.5,5,V,425
0.0091223,0.11335,6,0.5,5,V,425
0.010021,0.12088,6,0.5,5,V,425
0.010755,0.12849,6,0.5,5,V,425
0.011661,0.13622,6,0.5,5,V,425
0.012589,0.1436,6,0.5,5,V,425
0.013285,0.15124,6,0.5,5,V,425
0.014038,0.15868,6,0.5,5,V,425
0.014745,0.16576,6,0.5,5,V,425
0.015516,0.17295,6,0.5,5,V,425
0.01625,0.17976,6,0.5,5,V,425
0.016902,0.18642,6,0.5,5,V,425
0.017572,0.1929,6,0.5,5,V,425
0.018223,0.19913,6,0.5,5,V,425
0.018964,0.20517,6,0.5,5,V,425
0.019432,0.21062,6,0.5,5,V,425
0.019971,0.21602,6,0.5,5,V,425
0.020724,0.22113,6,0.5,5,V,425
0.021166,0.22577,6,0.5,5,V,425
0.02157,0.23017,6,0.5,5,V,425
0.022131,0.23396,6,0.5,5,V,425
0.022524,0.23767,6,0.5,5,V,425
0.022831,0.24106,6,0.5,5,V,425
0.023269,0.24387,6,0.5,5,V,425
0.023539,0.24659,6,0.5,5,V,425
0.023782,0.24905,6,0.5,5,V,425
0.024168,0.2515,6,0.5,5,V,425
0.024404,0.25365,6,0.5,5,V,425
0.02452,0.25555,6,0.5,5,V,425
0.024823,0.25743,6,0.5,5,V,425
0.025149,0.25896,6,0.5,5,V,425
0.025287,0.26045,6,0.5,5,V,425
0.025452,0.26183,6,0.5,5,V,425
0.025564,0.26317,6,0.5,5,V,425
0.025721,0.26434,6,0.5,5,V,425
0.025954,0.26536,6,0.5,5,V,425
0.026133,0.26653,6,0.5,5,V,425
0.026422,0.26739,6,0.5,5,V,425
0.026579,0.26838,6,0.5,5,V,425
0.026646,0.26943,6,0.5,5,V,425
0.026961,0.27013,6,0.5,5,V,425
0.02705,0.27112,6,0.5,5,V,425
0.027208,0.27212,6,0.5,5,V,425
0.027582,0.27286,6,0.5,5,V,425
0.027507,0.27387,6,0.5,5,V,425
0.027661,0.27502,6,0.5,5,V,425
0.02802,0.27604,6,0.5,5,V,425
0.028076,0.27691,6,0.5,5,V,425
0.028342,0.27805,6,0.5,5,V,425
0.028653,0.27904,6,0.5,5,V,425
0.028623,0.27975,6,0.5,5,V,425
0.028817,0.28043,6,0.5,5,V,425
0.029076,0.28079,6,0.5,5,V,425
0.029046,0.28109,6,0.5,5,V,425
0.029079,0.28112,6,0.5,5,V,425
0.029046,0.28112,6,0.5,5,V,425
0.029136,0.28079,6,0.5,5,V,425
0.029211,0.28019,6,0.5,5,V,425
0.029184,0.27953,6,0.5,5,V,425
0.029143,0.27828,6,0.5,5,V,425
0.029046,0.27716,6,0.5,5,V,425
0.028859,0.27556,6,0.5,5,V,425
0.028593,0.27363,6,0.5,5,V,425
0.028507,0.27168,6,0.5,5,V,425
0.028185,0.26908,6,0.5,5,V,425
0.027945,0.26642,6,0.5,5,V,425
0.027833,0.26358,6,0.5,5,V,425
0.027271,0.26028,6,0.5,5,V,425
0.026882,0.25684,6,0.5,5,V,425
0.026766,0.25325,6,0.5,5,V,425
0.026216,0.24941,6,0.5,5,V,425
0.025587,0.24532,6,0.5,5,V,425
