low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.028763,-0.2652,10,-0.4,7,H,750
-0.028639,-0.26592,10,-0.4,7,H,750
-0.028737,-0.26673,10,-0.4,7,H,750
-0.029077,-0.26726,10,-0.4,7,H,750
-0.029164,-0.26771,10,-0.4,7,H,750
-0.029261,-0.2684,10,-0.4,7,H,750
-0.029268,-0.26849,10,-0.4,7,H,750
-0.029373,-0.26854,10,-0.4,7,H,750
-0.029568,-0.26853,10,-0.4,7,H,750
-0.029399,-0.2681,10,-0.4,7,H,750
-0.029441,-0.26758,10,-0.4,7,H,750
-0.029429,-0.26668,10,-0.4,7,H,750
-0.029205,-0.26563,10,-0.4,7,H,750
-0.029227,-0.26426,10,-0.4,7,H,750
-0.029092,-0.26267,10,-0.4,7,H,750
-0.02895,-0.2609,10,-0.4,7,H,750
-0.028579,-0.25857,10,-0.4,7,H,750
-0.028179,-0.25614,10,-0.4,7,H,750
-0.028265,-0.25355,10,-0.4,7,H,750
-0.027879,-0.25076,10,-0.4,7,H,750
-0.027572,-0.24767,10,-0.4,7,H,750
-0.027415,-0.24436,10,-0.4,7,H,750
-0.02691,-0.24113,10,-0.4,7,H,750
-0.026569,-0.23756,10,-0.4,7,H,750
-0.026071,-0.23376,10,-0.4,7,H,750
-0.025577,-0.22964,10,-0.4,7,H,750
-0.02515,-0.22533,10,-0.4,7,H,750
-0.024645,-0.22092,10,-0.4,7,H,750
-0.024147,-0.2161,10,-0.4,7,H,750
-0.023492,-0.21136,10,-0.4,7,H,750
-0.022908,-0.20628,10,-0.4,7,H,750
-0.022496,-0.20101,10,-0.4,7,H,750
-0.022002,-0.19567,10,-0.4,7,H,750
-0.021373,-0.19,10,-0.4,7,H,750
-0.020752,-0.18432,10,-0.4,7,H,750
-0.020104,-0.17819,10,-0.4,7,H,750
-0.019423,-0.17208,10,-0.4,7,H,750
-0.018835,-0.16589,10,-0.4,7,H,750
-0.018139,-0.15933,10,-0.4,7,H,750
-0.017259,-0.15301,10,-0.4,7,H,750
-0.01663,-0.1466,10,-0.4,7,H,750
-0.016102,-0.13986,10,-0.4,7,H,750
-0.01532,-0.13307,10,-0.4,7,H,750
-0.01459,-0.12643,10,-0.4,7,H,750
-0.013961,-0.11965,10,-0.4,7,H,750
-0.013351,-0.11295,10,-0.4,7,H,750
-0.012609,-0.10637,10,-0.4,7,H,750
-0.011737,-0.099675,10,-0.4,7,H,750
-0.011164,-0.093187,10,-0.4,7,H,750
-0.010509,-0.086704,10,-0.4,7,H,750
-0.0097379,-0.080478,10,-0.4,7,H,750
-0.0092063,-0.074387,10,-0.4,7,H,750
-0.008656,-0.068049,10,-0.4,7,H,750
-0.0080945,-0.062093,10,-0.4,7,H,750
-0.0075442,-0.05617,10,-0.4,7,H,750
-0.0068292,-0.050213,10,-0.4,7,H,750
-0.0061104,-0.044832,10,-0.4,7,H,750
-0.0057847,-0.039268,10,-0.4,7,H,750
-0.0051969,-0.033722,10,-0.4,7,H,750
-0.0045119,-0.028244,10,-0.4,7,H,750
-0.0041113,-0.02262,10,-0.4,7,H,750
-0.0035647,-0.017358,10,-0.4,7,H,750
-0.0031866,-0.011854,10,-0.4,7,H,750
-0.0024791,-0.0064875,10,-0.4,7,H,750
-0.0018876,-0.0011737,10,-0.4,7,H,750
-0.0015619,0.0042822,10,-0.4,7,H,750
-0.00095919,0.0095849,10,-0.4,7,H,750
-0.00060355,0.015134,10,-0.4,7,H,750
6.6623e-06,0.020523,10,-0.4,7,H,750
0.00057195,0.02593,10,-0.4,7,H,750
0.00099872,0.031487,10,-0.4,7,H,750
0.0018448,0.036988,10,-0.4,7,H,750
0.0023689,0.042769,10,-0.4,7,H,750
0.0028892,0.048751,10,-0.4,7,H,750
0.0034583,0.054734,10,-0.4,7,H,750
0.00393,0.061001,10,-0.4,7,H,750
0.0046974,0.067417,10,-0.4,7,H,750
0.0053825,0.073819,10,-0.4,7,H,750
0.0060638,0.080366,10,-0.4,7,H,750
0.0065355,0.086946,10,-0.4,7,H,750
0.007273,0.093803,10,-0.4,7,H,750
0.0081864,0.10084,10,-0.4,7,H,750
0.0087966,0.10778,10,-0.4,7,H,750
0.0096464,0.11485,10,-0.4,7,H,750
0.010272,0.12193,10,-0.4,7,H,750
0.010942,0.129,10,-0.4,7,H,750
0.011833,0.13608,10,-0.4,7,H,750
0.012439,0.14316,10,-0.4,7,H,750
0.013046,0.15022,10,-0.4,7,H,750
0.013862,0.15697,10,-0.4,7,H,750
0.014633,0.16354,10,-0.4,7,H,750
0.015382,0.17009,10,-0.4,7,H,750
0.015947,0.1765,10,-0.4,7,H,750
0.016486,0.18272,10,-0.4,7,H,750
0.017276,0.18862,10,-0.4,7,H,750
0.017785,0.19427,10,-0.4,7,H,750
0.018365,0.19965,10,-0.4,7,H,750
0.018874,0.20464,10,-0.4,7,H,750
0.019458,0.20947,10,-0.4,7,H,750
0.020263,0.21406,10,-0.4,7,H,750
0.020626,0.21836,10,-0.4,7,H,750
0.021034,0.22238,10,-0.4,7,H,750
0.021308,0.22588,10,-0.4,7,H,750
0.021701,0.22916,10,-0.4,7,H,750
0.022244,0.23215,10,-0.4,7,H,750
0.022352,0.23477,10,-0.4,7,H,750
0.022622,0.23748,10,-0.4,7,H,750
0.022962,0.23961,10,-0.4,7,H,750
0.023284,0.24159,10,-0.4,7,H,750
0.023591,0.24389,10,-0.4,7,H,750
0.023554,0.24553,10,-0.4,7,H,750
0.023625,0.24719,10,-0.4,7,H,750
0.024115,0.24881,10,-0.4,7,H,750
0.024471,0.2503,10,-0.4,7,H,750
0.024602,0.25193,10,-0.4,7,H,750
0.024845,0.25293,10,-0.4,7,H,750
0.025036,0.25401,10,-0.4,7,H,750
0.025123,0.25497,10,-0.4,7,H,750
0.02522,0.25574,10,-0.4,7,H,750
0.025381,0.25667,10,-0.4,7,H,750
0.025478,0.25711,10,-0.4,7,H,750
0.025527,0.25796,10,-0.4,7,H,750
0.025617,0.25908,10,-0.4,7,H,750
0.025774,0.25989,10,-0.4,7,H,750
0.026096,0.26093,10,-0.4,7,H,750
0.026395,0.26189,10,-0.4,7,H,750
0.026534,0.26294,10,-0.4,7,H,750
0.026455,0.26387,10,-0.4,7,H,750
0.026631,0.26477,10,-0.4,7,H,750
0.027069,0.26582,10,-0.4,7,H,750
0.027114,0.2665,10,-0.4,7,H,750
0.027181,0.26723,10,-0.4,7,H,750
0.027488,0.26781,10,-0.4,7,H,750
0.027638,0.26828,10,-0.4,7,H,750
