low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.022556,-0.21894,2,0.1,10,H,750
-0.022897,-0.22259,2,0.1,10,H,750
-0.023245,-0.22581,2,0.1,10,H,750
-0.02366,-0.22907,2,0.1,10,H,750
-0.02399,-0.23183,2,0.1,10,H,750
-0.024398,-0.23466,2,0.1,10,H,750
-0.024596,-0.23724,2,0.1,10,H,750
-0.024776,-0.23938,2,0.1,10,H,750
-0.024997,-0.24153,2,0.1,10,H,750
-0.02527,-0.24371,2,0.1,10,H,750
-0.025592,-0.24536,2,0.1,10,H,750
-0.025689,-0.24692,2,0.1,10,H,750
-0.025787,-0.24865,2,0.1,10,H,750
-0.026045,-0.24985,2,0.1,10,H,750
-0.0263,-0.25119,2,0.1,10,H,750
-0.026509,-0.25229,2,0.1,10,H,750
-0.026783,-0.25325,2,0.1,10,H,750
-0.02685,-0.2543,2,0.1,10,H,750
-0.026925,-0.25502,2,0.1,10,H,750
-0.027142,-0.25586,2,0.1,10,H,750
-0.027254,-0.25652,2,0.1,10,H,750
-0.027411,-0.25738,2,0.1,10,H,750
-0.02749,-0.25825,2,0.1,10,H,750
-0.027644,-0.25901,2,0.1,10,H,750
-0.027917,-0.26008,2,0.1,10,H,750
-0.028018,-0.26091,2,0.1,10,H,750
-0.028145,-0.26168,2,0.1,10,H,750
-0.028336,-0.2626,2,0.1,10,H,750
-0.028456,-0.26343,2,0.1,10,H,750
-0.028535,-0.26443,2,0.1,10,H,750
-0.028752,-0.2652,2,0.1,10,H,750
-0.028894,-0.26564,2,0.1,10,H,750
-0.02892,-0.26646,2,0.1,10,H,750
-0.029246,-0.26695,2,0.1,10,H,750
-0.029384,-0.26683,2,0.1,10,H,750
-0.029302,-0.26676,2,0.1,10,H,750
-0.029287,-0.26657,2,0.1,10,H,750
-0.029175,-0.26619,2,0.1,10,H,750
-0.02919,-0.26566,2,0.1,10,H,750
-0.029223,-0.26509,2,0.1,10,H,750
-0.029246,-0.26402,2,0.1,10,H,750
-0.029182,-0.26253,2,0.1,10,H,750
-0.028943,-0.26107,2,0.1,10,H,750
-0.028718,-0.25921,2,0.1,10,H,750
-0.028445,-0.25689,2,0.1,10,H,750
-0.028276,-0.25439,2,0.1,10,H,750
-0.028007,-0.25186,2,0.1,10,H,750
-0.027632,-0.24905,2,0.1,10,H,750
-0.027307,-0.24588,2,0.1,10,H,750
-0.026899,-0.24247,2,0.1,10,H,750
-0.026603,-0.23882,2,0.1,10,H,750
-0.026146,-0.23528,2,0.1,10,H,750
-0.02557,-0.23128,2,0.1,10,H,750
-0.025229,-0.22695,2,0.1,10,H,750
-0.024862,-0.22269,2,0.1,10,H,750
-0.024316,-0.2181,2,0.1,10,H,750
-0.023836,-0.2134,2,0.1,10,H,750
-0.023301,-0.2083,2,0.1,10,H,750
-0.022612,-0.20293,2,0.1,10,H,750
-0.022043,-0.19773,2,0.1,10,H,750
-0.021504,-0.19226,2,0.1,10,H,750
-0.020946,-0.18629,2,0.1,10,H,750
-0.020261,-0.18034,2,0.1,10,H,750
-0.019673,-0.17455,2,0.1,10,H,750
-0.019134,-0.16852,2,0.1,10,H,750
-0.018303,-0.16234,2,0.1,10,H,750
-0.017622,-0.156,2,0.1,10,H,750
-0.017023,-0.14946,2,0.1,10,H,750
-0.016383,-0.14288,2,0.1,10,H,750
-0.015615,-0.1363,2,0.1,10,H,750
-0.014739,-0.12947,2,0.1,10,H,750
-0.014208,-0.12267,2,0.1,10,H,750
-0.013601,-0.11592,2,0.1,10,H,750
-0.012853,-0.10917,2,0.1,10,H,750
