low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
0.024875,0.25555,9,-0.3,6,H,425
0.024973,0.2569,9,-0.3,6,H,425
0.025018,0.25806,9,-0.3,6,H,425
0.025179,0.25938,9,-0.3,6,H,425
0.025579,0.26068,9,-0.3,6,H,425
0.025763,0.26166,9,-0.3,6,H,425
0.025871,0.26294,9,-0.3,6,H,425
0.026174,0.26428,9,-0.3,6,H,425
0.026223,0.26541,9,-0.3,6,H,425
0.026583,0.26659,9,-0.3,6,H,425
0.026747,0.26766,9,-0.3,6,H,425
0.026773,0.26874,9,-0.3,6,H,425
0.027088,0.2699,9,-0.3,6,H,425
0.02717,0.2709,9,-0.3,6,H,425
0.027485,0.27188,9,-0.3,6,H,425
0.027578,0.273,9,-0.3,6,H,425
0.027687,0.27393,9,-0.3,6,H,425
0.02805,0.27468,9,-0.3,6,H,425
0.028181,0.27542,9,-0.3,6,H,425
0.028323,0.27588,9,-0.3,6,H,425
0.028327,0.27611,9,-0.3,6,H,425
0.028368,0.27627,9,-0.3,6,H,425
0.028424,0.27626,9,-0.3,6,H,425
0.028458,0.27606,9,-0.3,6,H,425
0.028372,0.27555,9,-0.3,6,H,425
0.028421,0.27489,9,-0.3,6,H,425
0.028469,0.27417,9,-0.3,6,H,425
0.028162,0.27288,9,-0.3,6,H,425
0.028267,0.27164,9,-0.3,6,H,425
0.028087,0.27013,9,-0.3,6,H,425
0.027765,0.26788,9,-0.3,6,H,425
0.027702,0.26568,9,-0.3,6,H,425
0.02729,0.26335,9,-0.3,6,H,425
0.027013,0.26079,9,-0.3,6,H,425
0.0268,0.25772,9,-0.3,6,H,425
0.026481,0.25439,9,-0.3,6,H,425
0.026145,0.25103,9,-0.3,6,H,425
0.025826,0.24717,9,-0.3,6,H,425
0.025377,0.24303,9,-0.3,6,H,425
0.024894,0.23867,9,-0.3,6,H,425
0.024378,0.23423,9,-0.3,6,H,425
0.023797,0.22957,9,-0.3,6,H,425
0.023363,0.22462,9,-0.3,6,H,425
0.022779,0.21967,9,-0.3,6,H,425
0.022109,0.21447,9,-0.3,6,H,425
0.021443,0.20897,9,-0.3,6,H,425
0.021023,0.20336,9,-0.3,6,H,425
0.020469,0.19765,9,-0.3,6,H,425
0.019717,0.19167,9,-0.3,6,H,425
0.01917,0.18538,9,-0.3,6,H,425
0.018328,0.17884,9,-0.3,6,H,425
0.017632,0.17234,9,-0.3,6,H,425
0.016995,0.16572,9,-0.3,6,H,425
0.016183,0.15899,9,-0.3,6,H,425
0.015632,0.15241,9,-0.3,6,H,425
0.014884,0.14562,9,-0.3,6,H,425
0.014169,0.13878,9,-0.3,6,H,425
0.013525,0.13198,9,-0.3,6,H,425
0.012746,0.12523,9,-0.3,6,H,425
0.01205,0.11851,9,-0.3,6,H,425
0.011316,0.11179,9,-0.3,6,H,425
0.010624,0.10523,9,-0.3,6,H,425
0.009931,0.098549,9,-0.3,6,H,425
0.009317,0.091808,9,-0.3,6,H,425
0.0086581,0.085231,9,-0.3,6,H,425
0.0079468,0.078875,9,-0.3,6,H,425
0.0073404,0.072653,9,-0.3,6,H,425
0.0066927,0.066584,9,-0.3,6,H,425
0.0061911,0.060508,9,-0.3,6,H,425
0.0055509,0.054327,9,-0.3,6,H,425
0.0048509,0.048389,9,-0.3,6,H,425
0.0042819,0.042503,9,-0.3,6,H,425
0.0036155,0.036834,9,-0.3,6,H,425
0.0031251,0.031311,9,-0.3,6,H,425
0.0027807,0.025497,9,-0.3,6,H,425
0.0021218,0.019873,9,-0.3,6,H,425
0.0014704,0.01451,9,-0.3,6,H,425
0.00096128,0.0088151,9,-0.3,6,H,425
0.0004222,0.00312,9,-0.3,6,H,425
-4.5685e-06,-0.0023284,9,-0.3,6,H,425
-0.00064472,-0.0079524,9,-0.3,6,H,425
-0.0012287,-0.013569,9,-0.3,6,H,425
-0.0016929,-0.019103,9,-0.3,6,H,425
-0.0022283,-0.024712,9,-0.3,6,H,425
-0.0027149,-0.0304,9,-0.3,6,H,425
-0.0032915,-0.036058,9,-0.3,6,H,425
-0.0039054,-0.041682,9,-0.3,6,H,425
-0.004583,-0.04744,9,-0.3,6,H,425
-0.0051408,-0.053434,9,-0.3,6,H,425
-0.005766,-0.059686,9,-0.3,6,H,425
-0.00632,-0.0658,9,-0.3,6,H,425
-0.0067992,-0.07198,9,-0.3,6,H,425
-0.0076528,-0.078729,9,-0.3,6,H,425
