low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.027149,-0.25689,8,-0.2,4,H,750
-0.027385,-0.25787,8,-0.2,4,H,750
-0.027584,-0.25898,8,-0.2,4,H,750
-0.027647,-0.2601,8,-0.2,4,H,750
-0.027981,-0.26109,8,-0.2,4,H,750
-0.028179,-0.2622,8,-0.2,4,H,750
-0.028216,-0.26315,8,-0.2,4,H,750
-0.028411,-0.26408,8,-0.2,4,H,750
-0.028568,-0.26507,8,-0.2,4,H,750
-0.02886,-0.26587,8,-0.2,4,H,750
-0.028943,-0.26658,8,-0.2,4,H,750
-0.02898,-0.2672,8,-0.2,4,H,750
-0.029351,-0.26776,8,-0.2,4,H,750
-0.02947,-0.26822,8,-0.2,4,H,750
-0.029377,-0.2684,8,-0.2,4,H,750
-0.029295,-0.26828,8,-0.2,4,H,750
-0.029324,-0.26808,8,-0.2,4,H,750
-0.029399,-0.26754,8,-0.2,4,H,750
-0.029437,-0.26683,8,-0.2,4,H,750
-0.029287,-0.26609,8,-0.2,4,H,750
-0.029197,-0.26483,8,-0.2,4,H,750
-0.029145,-0.26349,8,-0.2,4,H,750
-0.02892,-0.26189,8,-0.2,4,H,750
-0.028868,-0.2598,8,-0.2,4,H,750
-0.028617,-0.25769,8,-0.2,4,H,750
-0.028411,-0.25541,8,-0.2,4,H,750
-0.028243,-0.25293,8,-0.2,4,H,750
-0.027786,-0.25008,8,-0.2,4,H,750
-0.02752,-0.24699,8,-0.2,4,H,750
-0.027329,-0.24399,8,-0.2,4,H,750
-0.026719,-0.24044,8,-0.2,4,H,750
-0.026135,-0.23673,8,-0.2,4,H,750
-0.025981,-0.2332,8,-0.2,4,H,750
-0.025528,-0.22915,8,-0.2,4,H,750
-0.024997,-0.22504,8,-0.2,4,H,750
-0.024637,-0.22066,8,-0.2,4,H,750
-0.024143,-0.21593,8,-0.2,4,H,750
-0.023642,-0.21123,8,-0.2,4,H,750
-0.022975,-0.20611,8,-0.2,4,H,750
-0.022451,-0.20068,8,-0.2,4,H,750
-0.02192,-0.19512,8,-0.2,4,H,750
-0.021141,-0.18937,8,-0.2,4,H,750
-0.02052,-0.18324,8,-0.2,4,H,750
-0.019846,-0.17698,8,-0.2,4,H,750
-0.019254,-0.17084,8,-0.2,4,H,750
-0.018618,-0.16438,8,-0.2,4,H,750
-0.017824,-0.15795,8,-0.2,4,H,750
-0.017281,-0.15146,8,-0.2,4,H,750
-0.016585,-0.14485,8,-0.2,4,H,750
-0.015806,-0.13824,8,-0.2,4,H,750
-0.015129,-0.13139,8,-0.2,4,H,750
-0.014425,-0.12487,8,-0.2,4,H,750
-0.013747,-0.1182,8,-0.2,4,H,750
-0.013062,-0.11135,8,-0.2,4,H,750
-0.012377,-0.10496,8,-0.2,4,H,750
-0.011677,-0.098348,8,-0.2,4,H,750
-0.011116,-0.091958,8,-0.2,4,H,750
-0.010397,-0.08593,8,-0.2,4,H,750
-0.0097267,-0.079604,8,-0.2,4,H,750
-0.0091764,-0.07358,8,-0.2,4,H,750
-0.0085175,-0.067668,8,-0.2,4,H,750
-0.0080346,-0.061644,8,-0.2,4,H,750
-0.0073608,-0.05577,8,-0.2,4,H,750
-0.0066607,-0.04994,8,-0.2,4,H,750
-0.0060767,-0.044163,8,-0.2,4,H,750
-0.0055601,-0.038546,8,-0.2,4,H,750
-0.0050809,-0.033132,8,-0.2,4,H,750
-0.0044333,-0.027687,8,-0.2,4,H,750
-0.0040027,-0.022175,8,-0.2,4,H,750
-0.0034375,-0.016727,8,-0.2,4,H,750
-0.0028647,-0.011473,8,-0.2,4,H,750
-0.002408,-0.0061101,8,-0.2,4,H,750
-0.0018314,-0.00083734,8,-0.2,4,H,750
-0.0015095,0.0042262,8,-0.2,4,H,750
-0.0010341,0.0096933,8,-0.2,4,H,750
-0.00039016,0.015101,8,-0.2,4,H,750
0.00018261,0.020388,8,-0.2,4,H,750
0.00070672,0.025896,8,-0.2,4,H,750
0.0011485,0.031431,8,-0.2,4,H,750
0.0018186,0.037103,8,-0.2,4,H,750
0.0023314,0.042776,8,-0.2,4,H,750
0.0027545,0.048628,8,-0.2,4,H,750
0.0034994,0.054603,8,-0.2,4,H,750
0.0041246,0.060381,8,-0.2,4,H,750
0.0047161,0.066505,8,-0.2,4,H,750
0.00536,0.072925,8,-0.2,4,H,750
0.0059365,0.079248,8,-0.2,4,H,750
0.0066403,0.085612,8,-0.2,4,H,750
0.0073254,0.092226,8,-0.2,4,H,750
0.0079993,0.099005,8,-0.2,4,H,750
0.008733,0.10592,8,-0.2,4,H,750
0.0094705,0.11292,8,-0.2,4,H,750
0.010148,0.11988,8,-0.2,4,H,750
0.01071,0.12682,8,-0.2,4,H,750
0.011537,0.13379,8,-0.2,4,H,750
0.012342,0.14085,8,-0.2,4,H,750
0.012975,0.14765,8,-0.2,4,H,750
0.013686,0.15447,8,-0.2,4,H,750
0.014333,0.16113,8,-0.2,4,H,750
0.015093,0.16736,8,-0.2,4,H,750
0.015797,0.17385,8,-0.2,4,H,750
0.016347,0.18001,8,-0.2,4,H,750
0.016935,0.18578,8,-0.2,4,H,750
0.017579,0.19166,8,-0.2,4,H,750
0.01826,0.19707,8,-0.2,4,H,750
0.018856,0.20215,8,-0.2,4,H,750
0.019503,0.20717,8,-0.2,4,H,750
0.020024,0.21198,8,-0.2,4,H,750
0.020379,0.21615,8,-0.2,4,H,750
0.020855,0.21964,8,-0.2,4,H,750
0.021158,0.22323,8,-0.2,4,H,750
0.021435,0.22659,8,-0.2,4,H,750
0.021974,0.22937,8,-0.2,4,H,750
0.022289,0.23205,8,-0.2,4,H,750
0.022506,0.23458,8,-0.2,4,H,750
0.02297,0.23704,8,-0.2,4,H,750
0.023172,0.23947,8,-0.2,4,H,750
0.023344,0.24164,8,-0.2,4,H,750
0.023558,0.24357,8,-0.2,4,H,750
0.023692,0.24538,8,-0.2,4,H,750
0.024063,0.24721,8,-0.2,4,H,750
0.024232,0.24886,8,-0.2,4,H,750
0.024396,0.25037,8,-0.2,4,H,750
0.024748,0.25184,8,-0.2,4,H,750
0.024917,0.25292,8,-0.2,4,H,750
0.025018,0.25399,8,-0.2,4,H,750
0.025212,0.25519,8,-0.2,4,H,750
0.025459,0.25608,8,-0.2,4,H,750
0.025482,0.2573,8,-0.2,4,H,750
0.025523,0.25856,8,-0.2,4,H,750
0.025766,0.25945,8,-0.2,4,H,750
0.026055,0.26068,8,-0.2,4,H,750
0.026272,0.26175,8,-0.2,4,H,750
0.026455,0.26283,8,-0.2,4,H,750
0.026556,0.26398,8,-0.2,4,H,750
0.026646,0.26468,8,-0.2,4,H,750
0.026998,0.26557,8,-0.2,4,H,750
0.027122,0.26662,8,-0.2,4,H,750
0.027114,0.26751,8,-0.2,4,H,750
0.027335,0.26801,8,-0.2,4,H,750
0.027597,0.26859,8,-0.2,4,H,750
0.027728,0.26917,8,-0.2,4,H,750
0.027713,0.26931,8,-0.2,4,H,750
0.027784,0.26928,8,-0.2,4,H,750
0.027852,0.26901,8,-0.2,4,H,750
0.027874,0.2688,8,-0.2,4,H,750
0.027795,0.26819,8,-0.2,4,H,750
0.027732,0.26721,8,-0.2,4,H,750
0.027631,0.26621,8,-0.2,4,H,750
0.027548,0.2647,8,-0.2,4,H,750
0.027548,0.26321,8,-0.2,4,H,750
0.027275,0.26149,8,-0.2,4,H,750
0.027039,0.25927,8,-0.2,4,H,750
0.026792,0.25711,8,-0.2,4,H,750
0.026526,0.25455,8,-0.2,4,H,750
0.026339,0.25175,8,-0.2,4,H,750
0.025954,0.24885,8,-0.2,4,H,750
0.025628,0.24557,8,-0.2,4,H,750
0.025171,0.24222,8,-0.2,4,H,750
0.024729,0.23873,8,-0.2,4,H,750
0.024464,0.23487,8,-0.2,4,H,750
0.023984,0.2308,8,-0.2,4,H,750
0.023674,0.22678,8,-0.2,4,H,750
0.023273,0.22248,8,-0.2,4,H,750
0.022569,0.21788,8,-0.2,4,H,750
0.022075,0.21308,8,-0.2,4,H,750
0.021544,0.20801,8,-0.2,4,H,750
0.020937,0.20272,8,-0.2,4,H,750
0.020334,0.19692,8,-0.2,4,H,750
0.019683,0.19104,8,-0.2,4,H,750
0.01905,0.18512,8,-0.2,4,H,750
0.018392,0.17903,8,-0.2,4,H,750
0.017763,0.17266,8,-0.2,4,H,750
0.017122,0.16603,8,-0.2,4,H,750
0.016441,0.15956,8,-0.2,4,H,750
0.01561,0.15297,8,-0.2,4,H,750
0.014873,0.14646,8,-0.2,4,H,750
0.01421,0.1397,8,-0.2,4,H,750
0.013495,0.13263,8,-0.2,4,H,750
0.012982,0.12587,8,-0.2,4,H,750
0.012278,0.11903,8,-0.2,4,H,750
0.011447,0.11221,8,-0.2,4,H,750
0.010698,0.10553,8,-0.2,4,H,750
0.010092,0.098863,8,-0.2,4,H,750
0.0094967,0.092421,8,-0.2,4,H,750
0.0087068,0.086158,8,-0.2,4,H,750
0.0080554,0.079809,8,-0.2,4,H,750
0.0073928,0.073434,8,-0.2,4,H,750
0.0067339,0.067481,8,-0.2,4,H,750
0.0062585,0.061423,8,-0.2,4,H,750
0.005652,0.055429,8,-0.2,4,H,750
0.0048771,0.049783,8,-0.2,4,H,750
0.0042931,0.044024,8,-0.2,4,H,750
0.0038888,0.038438,8,-0.2,4,H,750
0.003316,0.032806,8,-0.2,4,H,750
0.0026721,0.02726,8,-0.2,4,H,750
0.0021854,0.021913,8,-0.2,4,H,750
0.0017212,0.016453,8,-0.2,4,H,750
0.0011335,0.011181,8,-0.2,4,H,750
0.00062061,0.0059564,8,-0.2,4,H,750
0.00013394,0.00051168,8,-0.2,4,H,750
-0.00048749,-0.0048433,8,-0.2,4,H,750
-0.00092924,-0.010071,8,-0.2,4,H,750
-0.0013373,-0.015475,8,-0.2,4,H,750
-0.0018801,-0.020804,8,-0.2,4,H,750
-0.0022919,-0.026319,8,-0.2,4,H,750
-0.0028647,-0.032014,8,-0.2,4,H,750
-0.0036171,-0.037534,8,-0.2,4,H,750
-0.0042311,-0.043348,8,-0.2,4,H,750
-0.0046728,-0.049346,8,-0.2,4,H,750
-0.0052082,-0.055187,8,-0.2,4,H,750
-0.0059681,-0.061278,8,-0.2,4,H,750
-0.0065896,-0.067492,8,-0.2,4,H,750
-0.0071736,-0.073572,8,-0.2,4,H,750
-0.0077501,-0.080123,8,-0.2,4,H,750
-0.0083902,-0.08679,8,-0.2,4,H,750
-0.0091577,-0.093273,8,-0.2,4,H,750
-0.0099513,-0.099977,8,-0.2,4,H,750
-0.010618,-0.10683,8,-0.2,4,H,750
-0.011112,-0.1138,8,-0.2,4,H,750
-0.011992,-0.12084,8,-0.2,4,H,750
-0.012819,-0.12792,8,-0.2,4,H,750
-0.013526,-0.13486,8,-0.2,4,H,750
-0.014335,-0.14181,8,-0.2,4,H,750
-0.014811,-0.14871,8,-0.2,4,H,750
-0.015492,-0.15527,8,-0.2,4,H,750
-0.016267,-0.16188,8,-0.2,4,H,750
-0.016929,-0.16831,8,-0.2,4,H,750
-0.017611,-0.1745,8,-0.2,4,H,750
-0.018202,-0.18068,8,-0.2,4,H,750
-0.018902,-0.18663,8,-0.2,4,H,750
-0.019479,-0.19245,8,-0.2,4,H,750
-0.019954,-0.19793,8,-0.2,4,H,750
