low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.02612,-0.25235,7,-0.1,9,H,425
-0.026255,-0.25387,7,-0.1,9,H,425
-0.026659,-0.25553,7,-0.1,9,H,425
-0.02682,-0.25685,7,-0.1,9,H,425
-0.026929,-0.2579,7,-0.1,9,H,425
-0.027164,-0.25911,7,-0.1,9,H,425
-0.02731,-0.26029,7,-0.1,9,H,425
-0.02743,-0.26139,7,-0.1,9,H,425
-0.027651,-0.26253,7,-0.1,9,H,425
-0.027917,-0.26356,7,-0.1,9,H,425
-0.028052,-0.26451,7,-0.1,9,H,425
-0.02825,-0.26563,7,-0.1,9,H,425
-0.028486,-0.26668,7,-0.1,9,H,425
-0.028568,-0.26775,7,-0.1,9,H,425
-0.028722,-0.26886,7,-0.1,9,H,425
-0.028808,-0.26993,7,-0.1,9,H,425
-0.029055,-0.27121,7,-0.1,9,H,425
-0.029422,-0.27227,7,-0.1,9,H,425
-0.029377,-0.27317,7,-0.1,9,H,425
-0.029542,-0.274,7,-0.1,9,H,425
-0.029822,-0.27474,7,-0.1,9,H,425
-0.029916,-0.27526,7,-0.1,9,H,425
-0.030118,-0.27557,7,-0.1,9,H,425
-0.030021,-0.27593,7,-0.1,9,H,425
-0.030129,-0.27599,7,-0.1,9,H,425
-0.030257,-0.27584,7,-0.1,9,H,425
-0.030144,-0.27541,7,-0.1,9,H,425
-0.030268,-0.27461,7,-0.1,9,H,425
-0.030137,-0.27386,7,-0.1,9,H,425
-0.030141,-0.2728,7,-0.1,9,H,425
-0.030054,-0.2712,7,-0.1,9,H,425
-0.029751,-0.26944,7,-0.1,9,H,425
-0.029665,-0.2676,7,-0.1,9,H,425
-0.029321,-0.26526,7,-0.1,9,H,425
-0.02907,-0.26259,7,-0.1,9,H,425
-0.028916,-0.25988,7,-0.1,9,H,425
-0.028609,-0.25692,7,-0.1,9,H,425
-0.02822,-0.25383,7,-0.1,9,H,425
-0.02782,-0.25025,7,-0.1,9,H,425
-0.027494,-0.24645,7,-0.1,9,H,425
-0.027045,-0.24251,7,-0.1,9,H,425
-0.026696,-0.23824,7,-0.1,9,H,425
-0.026083,-0.2339,7,-0.1,9,H,425
-0.025472,-0.22912,7,-0.1,9,H,425
-0.025079,-0.22441,7,-0.1,9,H,425
-0.024477,-0.21949,7,-0.1,9,H,425
-0.024039,-0.21417,7,-0.1,9,H,425
-0.02341,-0.20895,7,-0.1,9,H,425
-0.022807,-0.20327,7,-0.1,9,H,425
-0.02226,-0.19761,7,-0.1,9,H,425
-0.021556,-0.19182,7,-0.1,9,H,425
-0.02095,-0.1855,7,-0.1,9,H,425
-0.020437,-0.17937,7,-0.1,9,H,425
-0.019782,-0.17307,7,-0.1,9,H,425
-0.018872,-0.16642,7,-0.1,9,H,425
-0.018281,-0.16,7,-0.1,9,H,425
-0.017513,-0.15339,7,-0.1,9,H,425
-0.016765,-0.14648,7,-0.1,9,H,425
-0.016274,-0.13972,7,-0.1,9,H,425
-0.015353,-0.13297,7,-0.1,9,H,425
-0.014661,-0.12633,7,-0.1,9,H,425
-0.014073,-0.1195,7,-0.1,9,H,425
-0.013388,-0.11285,7,-0.1,9,H,425
-0.012759,-0.1062,7,-0.1,9,H,425
-0.011954,-0.099249,7,-0.1,9,H,425
-0.01128,-0.092836,7,-0.1,9,H,425
-0.010629,-0.086588,7,-0.1,9,H,425
-0.0098428,-0.08,7,-0.1,9,H,425
-0.0091764,-0.073539,7,-0.1,9,H,425
-0.0086223,-0.067362,7,-0.1,9,H,425
-0.007971,-0.061069,7,-0.1,9,H,425
-0.007357,-0.055067,7,-0.1,9,H,425
-0.0069078,-0.049193,7,-0.1,9,H,425
-0.0062826,-0.043176,7,-0.1,9,H,425
-0.0055751,-0.037459,7,-0.1,9,H,425
-0.0050322,-0.03173,7,-0.1,9,H,425
-0.0045231,-0.026237,7,-0.1,9,H,425
-0.0040551,-0.020871,7,-0.1,9,H,425
-0.0036246,-0.015191,7,-0.1,9,H,425
-0.0029545,-0.0096041,7,-0.1,9,H,425
