low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.028419,-0.26351,7,-0.1,10,H,750
-0.028692,-0.26422,7,-0.1,10,H,750
-0.028808,-0.26461,7,-0.1,10,H,750
-0.028845,-0.26504,7,-0.1,10,H,750
-0.028894,-0.26517,7,-0.1,10,H,750
-0.028845,-0.26529,7,-0.1,10,H,750
-0.029081,-0.26513,7,-0.1,10,H,750
-0.029261,-0.26473,7,-0.1,10,H,750
-0.029164,-0.26427,7,-0.1,10,H,750
-0.029081,-0.2635,7,-0.1,10,H,750
-0.028958,-0.26294,7,-0.1,10,H,750
-0.02901,-0.26205,7,-0.1,10,H,750
-0.02886,-0.26067,7,-0.1,10,H,750
-0.028568,-0.25904,7,-0.1,10,H,750
-0.028512,-0.25722,7,-0.1,10,H,750
-0.028314,-0.25525,7,-0.1,10,H,750
-0.028168,-0.25285,7,-0.1,10,H,750
-0.027947,-0.25037,7,-0.1,10,H,750
-0.027494,-0.24762,7,-0.1,10,H,750
-0.027228,-0.24458,7,-0.1,10,H,750
-0.02688,-0.24154,7,-0.1,10,H,750
-0.026457,-0.23849,7,-0.1,10,H,750
-0.026157,-0.23512,7,-0.1,10,H,750
-0.025783,-0.23135,7,-0.1,10,H,750
-0.025427,-0.22766,7,-0.1,10,H,750
-0.024944,-0.22352,7,-0.1,10,H,750
-0.024413,-0.21911,7,-0.1,10,H,750
-0.023986,-0.21458,7,-0.1,10,H,750
-0.023425,-0.20979,7,-0.1,10,H,750
-0.022856,-0.20455,7,-0.1,10,H,750
-0.022361,-0.19893,7,-0.1,10,H,750
-0.02171,-0.19347,7,-0.1,10,H,750
-0.020931,-0.18754,7,-0.1,10,H,750
-0.020388,-0.18169,7,-0.1,10,H,750
-0.019793,-0.17588,7,-0.1,10,H,750
-0.019127,-0.1696,7,-0.1,10,H,750
-0.018524,-0.16316,7,-0.1,10,H,750
-0.017697,-0.1565,7,-0.1,10,H,750
-0.017075,-0.15008,7,-0.1,10,H,750
-0.016387,-0.1435,7,-0.1,10,H,750
-0.015672,-0.13685,7,-0.1,10,H,750
-0.015129,-0.13028,7,-0.1,10,H,750
-0.014305,-0.12367,7,-0.1,10,H,750
-0.013714,-0.11716,7,-0.1,10,H,750
-0.013077,-0.11051,7,-0.1,10,H,750
-0.012175,-0.10416,7,-0.1,10,H,750
-0.011441,-0.097698,7,-0.1,10,H,750
-0.010917,-0.091222,7,-0.1,10,H,750
-0.01049,-0.085149,7,-0.1,10,H,750
-0.0097005,-0.078924,7,-0.1,10,H,750
-0.0088919,-0.072836,7,-0.1,10,H,750
-0.008394,-0.066697,7,-0.1,10,H,750
-0.0077389,-0.060553,7,-0.1,10,H,750
-0.00705,-0.05488,7,-0.1,10,H,750
-0.0066045,-0.048995,7,-0.1,10,H,750
