low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.029811,-0.27354,1,0.0,7,H,425
-0.029972,-0.27402,1,0.0,7,H,425
-0.030077,-0.27428,1,0.0,7,H,425
-0.029841,-0.27452,1,0.0,7,H,425
-0.029879,-0.2743,1,0.0,7,H,425
-0.030197,-0.2738,1,0.0,7,H,425
-0.030062,-0.27347,1,0.0,7,H,425
-0.030077,-0.2729,1,0.0,7,H,425
-0.030137,-0.27178,1,0.0,7,H,425
-0.029886,-0.27061,1,0.0,7,H,425
-0.029628,-0.26917,1,0.0,7,H,425
-0.029474,-0.26715,1,0.0,7,H,425
-0.029467,-0.26495,1,0.0,7,H,425
-0.029201,-0.26249,1,0.0,7,H,425
-0.028823,-0.25975,1,0.0,7,H,425
-0.028452,-0.25688,1,0.0,7,H,425
-0.028134,-0.25374,1,0.0,7,H,425
-0.027909,-0.25036,1,0.0,7,H,425
-0.027453,-0.24669,1,0.0,7,H,425
-0.027056,-0.24264,1,0.0,7,H,425
-0.026674,-0.23839,1,0.0,7,H,425
-0.026079,-0.23412,1,0.0,7,H,425
-0.025588,-0.22957,1,0.0,7,H,425
-0.02515,-0.22475,1,0.0,7,H,425
-0.024634,-0.21985,1,0.0,7,H,425
-0.024001,-0.21471,1,0.0,7,H,425
-0.02341,-0.20929,1,0.0,7,H,425
-0.022841,-0.20363,1,0.0,7,H,425
-0.02217,-0.19785,1,0.0,7,H,425
-0.021661,-0.19193,1,0.0,7,H,425
-0.020931,-0.18584,1,0.0,7,H,425
-0.020134,-0.17956,1,0.0,7,H,425
-0.019584,-0.17297,1,0.0,7,H,425
-0.018854,-0.16642,1,0.0,7,H,425
-0.01815,-0.15976,1,0.0,7,H,425
-0.017476,-0.15297,1,0.0,7,H,425
-0.016716,-0.14634,1,0.0,7,H,425
-0.015986,-0.13945,1,0.0,7,H,425
-0.015346,-0.13256,1,0.0,7,H,425
-0.014672,-0.12583,1,0.0,7,H,425
-0.014006,-0.11899,1,0.0,7,H,425
-0.013422,-0.11216,1,0.0,7,H,425
-0.012643,-0.10535,1,0.0,7,H,425
-0.011898,-0.098722,1,0.0,7,H,425
