low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
0.00072918,0.0066402,4,0.3,6,V,750
0.00015266,0.0012852,4,0.3,6,V,750
-0.00028534,-0.0040585,4,0.3,6,V,750
-0.00089555,-0.0096377,4,0.3,6,V,750
-0.0014496,-0.015023,4,0.3,6,V,750
-0.0020111,-0.02049,4,0.3,6,V,750
-0.0024753,-0.025953,4,0.3,6,V,750
-0.0030107,-0.03145,4,0.3,6,V,750
-0.0034786,-0.037149,4,0.3,6,V,750
-0.0037332,-0.042485,4,0.3,6,V,750
-0.0045343,-0.048229,4,0.3,6,V,750
-0.0051258,-0.054204,4,0.3,6,V,750
-0.0055264,-0.060116,4,0.3,6,V,750
-0.0064099,-0.066203,4,0.3,6,V,750
-0.007065,-0.072324,4,0.3,6,V,750
-0.0074543,-0.078655,4,0.3,6,V,750
-0.0081769,-0.085168,4,0.3,6,V,750
-0.0090341,-0.091749,4,0.3,6,V,750
-0.0095171,-0.098404,4,0.3,6,V,750
-0.010195,-0.10534,4,0.3,6,V,750
-0.011142,-0.11237,4,0.3,6,V,750
-0.011827,-0.11948,4,0.3,6,V,750
-0.012504,-0.12682,4,0.3,6,V,750
-0.013103,-0.13406,4,0.3,6,V,750
-0.013908,-0.14128,4,0.3,6,V,750
-0.014919,-0.14846,4,0.3,6,V,750
-0.015428,-0.15552,4,0.3,6,V,750
-0.016207,-0.1624,4,0.3,6,V,750
-0.017173,-0.16887,4,0.3,6,V,750
-0.017521,-0.17534,4,0.3,6,V,750
-0.018161,-0.1816,4,0.3,6,V,750
-0.018842,-0.18757,4,0.3,6,V,750
-0.019277,-0.19329,4,0.3,6,V,750
-0.019954,-0.19844,4,0.3,6,V,750
-0.020493,-0.20341,4,0.3,6,V,750
-0.02116,-0.20824,4,0.3,6,V,750
-0.021897,-0.21274,4,0.3,6,V,750
-0.022215,-0.2168,4,0.3,6,V,750
-0.022507,-0.22064,4,0.3,6,V,750
-0.023035,-0.22414,4,0.3,6,V,750
-0.023353,-0.22726,4,0.3,6,V,750
-0.023537,-0.23042,4,0.3,6,V,750
-0.023956,-0.23313,4,0.3,6,V,750
-0.024383,-0.23574,4,0.3,6,V,750
-0.024623,-0.23834,4,0.3,6,V,750
-0.024952,-0.24049,4,0.3,6,V,750
-0.025334,-0.24256,4,0.3,6,V,750
-0.025412,-0.24453,4,0.3,6,V,750
-0.025738,-0.24647,4,0.3,6,V,750
-0.025985,-0.24844,4,0.3,6,V,750
-0.025993,-0.25014,4,0.3,6,V,750
-0.026423,-0.25173,4,0.3,6,V,750
-0.026704,-0.25342,4,0.3,6,V,750
-0.026652,-0.25467,4,0.3,6,V,750
-0.026801,-0.25566,4,0.3,6,V,750
-0.027108,-0.25685,4,0.3,6,V,750
-0.027157,-0.2578,4,0.3,6,V,750
-0.02728,-0.25874,4,0.3,6,V,750
-0.027505,-0.25989,4,0.3,6,V,750
-0.027689,-0.26088,4,0.3,6,V,750
-0.027924,-0.26181,4,0.3,6,V,750
-0.028044,-0.26273,4,0.3,6,V,750
-0.028389,-0.26374,4,0.3,6,V,750
-0.028535,-0.26486,4,0.3,6,V,750
-0.028497,-0.26581,4,0.3,6,V,750
-0.028673,-0.2666,4,0.3,6,V,750
-0.02889,-0.26747,4,0.3,6,V,750
-0.029152,-0.26816,4,0.3,6,V,750
-0.02919,-0.2685,4,0.3,6,V,750
-0.029321,-0.2689,4,0.3,6,V,750
-0.029366,-0.26918,4,0.3,6,V,750
-0.02922,-0.26929,4,0.3,6,V,750
-0.029403,-0.2694,4,0.3,6,V,750
-0.029489,-0.26923,4,0.3,6,V,750
-0.029426,-0.26883,4,0.3,6,V,750
-0.029497,-0.26844,4,0.3,6,V,750
-0.029399,-0.26786,4,0.3,6,V,750
-0.029388,-0.26679,4,0.3,6,V,750
-0.029452,-0.2655,4,0.3,6,V,750
-0.029178,-0.264,4,0.3,6,V,750
-0.028995,-0.26214,4,0.3,6,V,750
-0.028954,-0.26005,4,0.3,6,V,750
-0.028692,-0.25788,4,0.3,6,V,750
-0.028336,-0.25553,4,0.3,6,V,750
-0.028022,-0.25291,4,0.3,6,V,750
-0.0277,-0.25009,4,0.3,6,V,750
-0.027434,-0.24692,4,0.3,6,V,750
-0.02703,-0.24343,4,0.3,6,V,750
-0.026678,-0.23992,4,0.3,6,V,750
-0.026232,-0.2363,4,0.3,6,V,750
-0.025689,-0.232,4,0.3,6,V,750
-0.025476,-0.22755,4,0.3,6,V,750
-0.024746,-0.22314,4,0.3,6,V,750
-0.024158,-0.21827,4,0.3,6,V,750
-0.023855,-0.21321,4,0.3,6,V,750
-0.023185,-0.20804,4,0.3,6,V,750
-0.022608,-0.20265,4,0.3,6,V,750
-0.022024,-0.19693,4,0.3,6,V,750
-0.021515,-0.19118,4,0.3,6,V,750
-0.020718,-0.18519,4,0.3,6,V,750
-0.020033,-0.17881,4,0.3,6,V,750
-0.01949,-0.17272,4,0.3,6,V,750
-0.018685,-0.16639,4,0.3,6,V,750
-0.018112,-0.15975,4,0.3,6,V,750
-0.017394,-0.15336,4,0.3,6,V,750
-0.016679,-0.14668,4,0.3,6,V,750
-0.016027,-0.13979,4,0.3,6,V,750
-0.015323,-0.13329,4,0.3,6,V,750
-0.014672,-0.12662,4,0.3,6,V,750
-0.013822,-0.1199,4,0.3,6,V,750
-0.013085,-0.11333,4,0.3,6,V,750
-0.012433,-0.10655,4,0.3,6,V,750
-0.011778,-0.099921,4,0.3,6,V,750
-0.011239,-0.093434,4,0.3,6,V,750
-0.01055,-0.086898,4,0.3,6,V,750
-0.0096706,-0.080523,4,0.3,6,V,750
-0.0090753,-0.074458,4,0.3,6,V,750
-0.0086523,-0.068397,4,0.3,6,V,750
-0.0078849,-0.06219,4,0.3,6,V,750
-0.0073495,-0.056319,4,0.3,6,V,750
-0.0068741,-0.050598,4,0.3,6,V,750
-0.0059906,-0.044877,4,0.3,6,V,750
-0.0055676,-0.039387,4,0.3,6,V,750
-0.0051595,-0.033718,4,0.3,6,V,750
-0.0044782,-0.028102,4,0.3,6,V,750
-0.0040327,-0.02284,4,0.3,6,V,750
-0.0034824,-0.017366,4,0.3,6,V,750
-0.0029433,-0.011876,4,0.3,6,V,750
-0.0024716,-0.0066482,4,0.3,6,V,750
-0.0019962,-0.0014427,4,0.3,6,V,750
-0.0015544,0.0039907,4,0.3,6,V,750
-0.0010341,0.0094877,4,0.3,6,V,750
-0.00033775,0.014682,4,0.3,6,V,750
0.00019759,0.020052,4,0.3,6,V,750
0.00057569,0.025672,4,0.3,6,V,750
0.0012158,0.031281,4,0.3,6,V,750
0.0017624,0.036827,4,0.3,6,V,750
0.002279,0.042301,4,0.3,6,V,750
0.0028892,0.048068,4,0.3,6,V,750
