low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.0058109,-0.037115,9,-0.3,1,H,425
-0.0051558,-0.031387,9,-0.3,1,H,425
-0.004568,-0.025774,9,-0.3,1,H,425
-0.0040289,-0.020221,9,-0.3,1,H,425
-0.0035572,-0.014544,9,-0.3,1,H,425
-0.0029845,-0.0090062,9,-0.3,1,H,425
-0.0025689,-0.003427,9,-0.3,1,H,425
-0.0020448,0.0022905,9,-0.3,1,H,425
-0.0013186,0.0077202,9,-0.3,1,H,425
-0.0008057,0.013411,9,-0.3,1,H,425
-0.0002479,0.019211,9,-0.3,1,H,425
0.00034733,0.024865,9,-0.3,1,H,425
0.00082651,0.030515,9,-0.3,1,H,425
0.0014068,0.036244,9,-0.3,1,H,425
0.0020582,0.042242,9,-0.3,1,H,425
0.0026272,0.04818,9,-0.3,1,H,425
0.0032524,0.054383,9,-0.3,1,H,425
0.0038775,0.060762,9,-0.3,1,H,425
0.0044878,0.066857,9,-0.3,1,H,425
0.0052215,0.073389,9,-0.3,1,H,425
0.0058841,0.080119,9,-0.3,1,H,425
0.0065542,0.086961,9,-0.3,1,H,425
0.0074003,0.094185,9,-0.3,1,H,425
0.0080105,0.10141,9,-0.3,1,H,425
0.0087592,0.10894,9,-0.3,1,H,425
0.0097101,0.11652,9,-0.3,1,H,425
0.010223,0.12422,9,-0.3,1,H,425
0.011099,0.13199,9,-0.3,1,H,425
0.01211,0.13971,9,-0.3,1,H,425
0.012862,0.14762,9,-0.3,1,H,425
0.013783,0.15512,9,-0.3,1,H,425
0.014401,0.16256,9,-0.3,1,H,425
0.015135,0.16993,9,-0.3,1,H,425
0.015962,0.17671,9,-0.3,1,H,425
0.016591,0.18358,9,-0.3,1,H,425
0.017493,0.1904,9,-0.3,1,H,425
0.018249,0.19659,9,-0.3,1,H,425
0.018627,0.2025,9,-0.3,1,H,425
0.01911,0.20817,9,-0.3,1,H,425
0.019855,0.21354,9,-0.3,1,H,425
0.02051,0.21872,9,-0.3,1,H,425
0.020915,0.22331,9,-0.3,1,H,425
0.021315,0.22752,9,-0.3,1,H,425
0.021884,0.23172,9,-0.3,1,H,425
0.022277,0.2354,9,-0.3,1,H,425
0.022584,0.23876,9,-0.3,1,H,425
0.022944,0.24192,9,-0.3,1,H,425
0.023161,0.24465,9,-0.3,1,H,425
0.02358,0.24745,9,-0.3,1,H,425
0.023865,0.2501,9,-0.3,1,H,425
0.024142,0.25217,9,-0.3,1,H,425
0.024497,0.25418,9,-0.3,1,H,425
0.024684,0.2562,9,-0.3,1,H,425
0.025074,0.258,9,-0.3,1,H,425
0.025254,0.25968,9,-0.3,1,H,425
0.02531,0.26104,9,-0.3,1,H,425
0.025512,0.26232,9,-0.3,1,H,425
0.0258,0.26347,9,-0.3,1,H,425
0.025931,0.26454,9,-0.3,1,H,425
0.026081,0.2657,9,-0.3,1,H,425
0.026208,0.2664,9,-0.3,1,H,425
0.026186,0.26732,9,-0.3,1,H,425
0.026508,0.26834,9,-0.3,1,H,425
0.026669,0.269,9,-0.3,1,H,425
0.026946,0.27004,9,-0.3,1,H,425
0.027223,0.27093,9,-0.3,1,H,425
0.02729,0.27159,9,-0.3,1,H,425
0.027541,0.27264,9,-0.3,1,H,425
0.027593,0.27373,9,-0.3,1,H,425
0.027807,0.27469,9,-0.3,1,H,425
0.028016,0.27565,9,-0.3,1,H,425
0.02832,0.27661,9,-0.3,1,H,425
