low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.016229,-0.14007,8,-0.2,7,H,425
-0.015529,-0.13324,8,-0.2,7,H,425
-0.014732,-0.12624,8,-0.2,7,H,425
-0.013983,-0.11979,8,-0.2,7,H,425
-0.0135,-0.11297,8,-0.2,7,H,425
-0.01277,-0.1063,8,-0.2,7,H,425
-0.011988,-0.099862,8,-0.2,7,H,425
-0.011396,-0.093258,8,-0.2,7,H,425
-0.010737,-0.086917,8,-0.2,7,H,425
-0.010067,-0.080545,8,-0.2,7,H,425
-0.0094909,-0.074211,8,-0.2,7,H,425
-0.008802,-0.067993,8,-0.2,7,H,425
-0.0081132,-0.061932,8,-0.2,7,H,425
-0.0075592,-0.055826,8,-0.2,7,H,425
-0.0068965,-0.049996,8,-0.2,7,H,425
-0.0063799,-0.044357,8,-0.2,7,H,425
-0.0058408,-0.038412,8,-0.2,7,H,425
-0.0052269,-0.032792,8,-0.2,7,H,425
-0.004744,-0.027257,8,-0.2,7,H,425
-0.0042011,-0.021742,8,-0.2,7,H,425
-0.0036883,-0.016316,8,-0.2,7,H,425
-0.0032615,-0.01077,8,-0.2,7,H,425
-0.0026438,-0.0052319,8,-0.2,7,H,425
-0.0018913,0.00022394,8,-0.2,7,H,425
-0.0015095,0.0056537,8,-0.2,7,H,425
-0.0010004,0.01127,8,-0.2,7,H,425
-0.00033026,0.016861,8,-0.2,7,H,425
0.00010774,0.022432,8,-0.2,7,H,425
0.00066928,0.028049,8,-0.2,7,H,425
0.0012233,0.033707,8,-0.2,7,H,425
0.0018485,0.039327,8,-0.2,7,H,425
0.0023764,0.045033,8,-0.2,7,H,425
0.0028031,0.050855,8,-0.2,7,H,425
0.0035968,0.056715,8,-0.2,7,H,425
0.0041583,0.062933,8,-0.2,7,H,425
0.004645,0.069129,8,-0.2,7,H,425
0.0054199,0.07541,8,-0.2,7,H,425
0.0060638,0.081916,8,-0.2,7,H,425
0.0067264,0.088456,8,-0.2,7,H,425
0.0074452,0.095414,8,-0.2,7,H,425
0.0081265,0.10247,8,-0.2,7,H,425
0.0089726,0.10951,8,-0.2,7,H,425
0.0097288,0.11686,8,-0.2,7,H,425
0.010358,0.12429,8,-0.2,7,H,425
0.011286,0.13175,8,-0.2,7,H,425
0.012001,0.13935,8,-0.2,7,H,425
0.012626,0.14667,8,-0.2,7,H,425
0.013547,0.1538,8,-0.2,7,H,425
0.014307,0.16106,8,-0.2,7,H,425
0.015067,0.16782,8,-0.2,7,H,425
0.0157,0.17438,8,-0.2,7,H,425
0.016288,0.18087,8,-0.2,7,H,425
0.016883,0.18682,8,-0.2,7,H,425
0.017429,0.19265,8,-0.2,7,H,425
0.0181,0.1982,8,-0.2,7,H,425
0.018796,0.20355,8,-0.2,7,H,425
0.019541,0.20848,8,-0.2,7,H,425
0.019829,0.21296,8,-0.2,7,H,425
0.020192,0.21751,8,-0.2,7,H,425
0.020787,0.22162,8,-0.2,7,H,425
0.021117,0.22541,8,-0.2,7,H,425
0.021663,0.2289,8,-0.2,7,H,425
0.021985,0.23209,8,-0.2,7,H,425
0.022154,0.23517,8,-0.2,7,H,425
0.022603,0.23778,8,-0.2,7,H,425
0.022861,0.24034,8,-0.2,7,H,425
0.023011,0.24282,8,-0.2,7,H,425
0.023397,0.24479,8,-0.2,7,H,425
0.023711,0.24667,8,-0.2,7,H,425
0.023936,0.24848,8,-0.2,7,H,425
0.024033,0.25021,8,-0.2,7,H,425
0.024078,0.25188,8,-0.2,7,H,425
0.024456,0.25348,8,-0.2,7,H,425
0.024797,0.25488,8,-0.2,7,H,425
0.024894,0.25617,8,-0.2,7,H,425
0.025104,0.25746,8,-0.2,7,H,425
0.025433,0.2586,8,-0.2,7,H,425
0.025415,0.25988,8,-0.2,7,H,425
0.025613,0.26088,8,-0.2,7,H,425
0.025965,0.26186,8,-0.2,7,H,425
0.025901,0.26312,8,-0.2,7,H,425
0.026186,0.26425,8,-0.2,7,H,425
0.026305,0.26525,8,-0.2,7,H,425
0.026358,0.26619,8,-0.2,7,H,425
0.026815,0.26733,8,-0.2,7,H,425
0.027043,0.26849,8,-0.2,7,H,425
0.027189,0.2696,8,-0.2,7,H,425
0.027256,0.2706,8,-0.2,7,H,425
0.027354,0.2717,8,-0.2,7,H,425
0.027646,0.27259,8,-0.2,7,H,425
0.02796,0.27326,8,-0.2,7,H,425
0.028005,0.27409,8,-0.2,7,H,425
0.027994,0.27436,8,-0.2,7,H,425
0.028155,0.27454,8,-0.2,7,H,425
0.028185,0.2747,8,-0.2,7,H,425
0.028218,0.27464,8,-0.2,7,H,425
0.0282,0.2745,8,-0.2,7,H,425
0.028323,0.27375,8,-0.2,7,H,425
0.028331,0.27295,8,-0.2,7,H,425
0.028039,0.27204,8,-0.2,7,H,425
0.027971,0.27073,8,-0.2,7,H,425
0.027908,0.2692,8,-0.2,7,H,425
0.02787,0.26738,8,-0.2,7,H,425
0.027616,0.26527,8,-0.2,7,H,425
0.027238,0.26277,8,-0.2,7,H,425
0.027129,0.26018,8,-0.2,7,H,425
0.026785,0.25739,8,-0.2,7,H,425
0.026384,0.25414,8,-0.2,7,H,425
0.026088,0.25062,8,-0.2,7,H,425
0.025639,0.24696,8,-0.2,7,H,425
0.025197,0.2431,8,-0.2,7,H,425
0.024722,0.23872,8,-0.2,7,H,425
0.024175,0.23422,8,-0.2,7,H,425
0.023734,0.22969,8,-0.2,7,H,425
0.023311,0.22476,8,-0.2,7,H,425
0.022734,0.21972,8,-0.2,7,H,425
0.022262,0.21468,8,-0.2,7,H,425
0.021648,0.20932,8,-0.2,7,H,425
0.020975,0.20362,8,-0.2,7,H,425
0.020372,0.1979,8,-0.2,7,H,425
0.019709,0.19185,8,-0.2,7,H,425
0.019204,0.18554,8,-0.2,7,H,425
0.018388,0.1793,8,-0.2,7,H,425
0.017676,0.17275,8,-0.2,7,H,425
0.017137,0.16607,8,-0.2,7,H,425
0.016284,0.15939,8,-0.2,7,H,425
0.015595,0.15261,8,-0.2,7,H,425
0.014947,0.14574,8,-0.2,7,H,425
0.01418,0.13868,8,-0.2,7,H,425
0.013596,0.13181,8,-0.2,7,H,425
0.012862,0.12492,8,-0.2,7,H,425
0.01208,0.11805,8,-0.2,7,H,425
0.011428,0.11132,8,-0.2,7,H,425
0.010481,0.10443,8,-0.2,7,H,425
0.0098935,0.097877,8,-0.2,7,H,425
0.0093844,0.091147,8,-0.2,7,H,425
0.0084747,0.084514,8,-0.2,7,H,425
0.0078944,0.078183,8,-0.2,7,H,425
0.0073741,0.071681,8,-0.2,7,H,425
0.0066441,0.06565,8,-0.2,7,H,425
0.0060264,0.059659,8,-0.2,7,H,425
0.005491,0.053512,8,-0.2,7,H,425
0.0048209,0.047462,8,-0.2,7,H,425
0.0041995,0.041662,8,-0.2,7,H,425
0.0036791,0.036098,8,-0.2,7,H,425
0.0031513,0.030433,8,-0.2,7,H,425
0.002586,0.024977,8,-0.2,7,H,425
0.0018785,0.019447,8,-0.2,7,H,425
0.0014629,0.013841,8,-0.2,7,H,425
0.0011223,0.0083667,8,-0.2,7,H,425
0.00041472,0.0029033,8,-0.2,7,H,425
-0.00010939,-0.002433,8,-0.2,7,H,425
-0.00060729,-0.0079786,8,-0.2,7,H,425
-0.0012287,-0.013659,8,-0.2,7,H,425
-0.0017004,-0.019186,8,-0.2,7,H,425
-0.0021122,-0.024597,8,-0.2,7,H,425
-0.0026251,-0.030067,8,-0.2,7,H,425
-0.003284,-0.035632,8,-0.2,7,H,425
-0.0037931,-0.04133,8,-0.2,7,H,425
-0.0044557,-0.047123,8,-0.2,7,H,425
-0.0052269,-0.052829,8,-0.2,7,H,425
-0.0057697,-0.058756,8,-0.2,7,H,425
-0.0062377,-0.064899,8,-0.2,7,H,425
-0.0067955,-0.071091,8,-0.2,7,H,425
-0.0075479,-0.07759,8,-0.2,7,H,425
-0.0081394,-0.08426,8,-0.2,7,H,425
-0.0089031,-0.091013,8,-0.2,7,H,425
-0.0096855,-0.098075,8,-0.2,7,H,425
-0.010255,-0.10523,8,-0.2,7,H,425
-0.011157,-0.11256,8,-0.2,7,H,425
-0.011853,-0.12,8,-0.2,7,H,425
-0.012501,-0.12762,8,-0.2,7,H,425
